"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II
1,Bulbasaur,45,49,49,65,65,45,318,Overgrow,NULL,Chlorophyll,6.9,0.7,Green,Monster,Grass,Grass,Poison
2,Ivysaur,60,62,63,80,80,60,405,Overgrow,NULL,Chlorophyll,13,1,Green,Monster,Grass,Grass,Poison
3,Venusaur,80,82,83,100,100,80,525,Overgrow,NULL,Chlorophyll,100,2,Green,Monster,Grass,Grass,Poison
3.1,Venusaur (Mega),80,100,123,122,120,80,625,Thick Fat,NULL,NULL,155.5,2.4,Green,Monster,Grass,Grass,Poison
4,Charmander,39,52,43,60,50,65,309,Blaze,NULL,Solar Power,8.5,0.6,Red,Monster,Dragon,Fire,NULL
5,Charmeleon,58,64,58,80,65,80,405,Blaze,NULL,Solar Power,19,1.1,Red,Monster,Dragon,Fire,NULL
6,Charizard,78,84,78,109,85,100,534,Blaze,NULL,Solar Power,90.5,1.7,Red,Monster,Dragon,Fire,Flying
6.1,Charizard (Mega X),78,130,111,130,85,100,634,Tough Claws,NULL,NULL,110.5,1.7,Black,Monster,Dragon,Fire,Dragon
6.2,Charizard (Mega Y),78,104,78,159,115,100,634,Drought,NULL,NULL,100.5,1.7,Red,Monster,Dragon,Fire,Flying
7,Squirtle,44,48,65,60,54,43,314,Torrent,NULL,Rain Dish,9,0.5,Blue,Monster,Water 1,Water,NULL
8,Wartortle,59,63,80,65,80,58,405,Torrent,NULL,Rain Dish,22.5,1,Blue,Monster,Water 1,Water,NULL
9,Blastoise,79,83,100,85,105,78,530,Torrent,NULL,Rain Dish,85.5,1.6,Blue,Monster,Water 1,Water,NULL
9.1,Blastoise (Mega),79,103,120,135,115,78,630,Mega Launcher,NULL,NULL,101.1,1.6,Blue,Monster,Water 1,Water,NULL
10,Caterpie,45,30,35,20,20,45,195,Shield Dust,NULL,Run Away,2.9,0.3,Green,Bug,NULL,Bug,NULL
11,Metapod,50,20,55,25,25,30,205,Shed Skin,NULL,NULL,9.9,0.7,Green,Bug,NULL,Bug,NULL
12,Butterfree,60,45,50,90,80,70,395,Compoundeyes,NULL,Tinted Lens,32,1.1,White,Bug,NULL,Bug,Flying
13,Weedle,40,35,30,20,20,50,195,Shield Dust,NULL,Run Away,3.2,0.3,Brown,Bug,NULL,Bug,Poison
14,Kakuna,45,25,50,25,25,35,205,Shed Skin,NULL,NULL,10,0.6,Yellow,Bug,NULL,Bug,Poison
15,Beedrill,65,90,40,40,80,75,390,Swarm,NULL,Sniper,29.5,1,Yellow,Bug,NULL,Bug,Poison
15.1,Beedrill (Mega),65,150,40,15,80,145,495,Adaptability,NULL,NULL,40.5,1.4,Yellow,Bug,NULL,Bug,Poison
16,Pidgey,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,Big Pecks,1.8,0.3,Brown,Flying,NULL,Normal,Flying
17,Pidgeotto,63,60,55,50,50,71,349,Keen Eye,Tangled Feet,Big Pecks,30,1.1,Brown,Flying,NULL,Normal,Flying
18,Pidgeot,83,80,75,70,70,91,469,Keen Eye,Tangled Feet,Big Pecks,39.5,1.5,Brown,Flying,NULL,Normal,Flying
18.1,Pidgeot (Mega),83,80,80,135,80,121,579,No Guard,NULL,NULL,50.5,2.2,Brown,Flying,NULL,Normal,Flying
19,Rattata,30,56,35,25,35,72,253,Run Away,Guts,Hustle,3.5,0.3,Purple,Field,NULL,Normal,NULL
19.1,Rattata (Alolan),30,56,35,25,35,72,253,Gluttony,Hustle,Thick Fat,3.8,0.3,Black,Field,NULL,Dark,Normal
20,Raticate,55,81,60,50,70,97,413,Run Away,Guts,Hustle,18.5,0.7,Brown,Field,NULL,Normal,NULL
20.1,Raticate (Alolan),75,71,70,40,80,77,413,Gluttony,Hustle,Thick Fat,25.5,0.7,Black,Field,NULL,Dark,Normal
21,Spearow,40,60,30,31,31,70,262,Keen Eye,NULL,Sniper,2,0.3,Brown,Flying,NULL,Normal,Flying
22,Fearow,65,90,65,61,61,100,442,Keen Eye,NULL,Sniper,38,1.2,Brown,Flying,NULL,Normal,Flying
23,Ekans,30,60,44,40,54,55,283,Intimidate,Shed Skin,Unnerve,6.9,2,Purple,Field,Dragon,Poison,NULL
24,Arbok,60,95,69,65,79,80,448,Intimidate,Shed Skin,Unnerve,65,3.5,Purple,Field,Dragon,Poison,NULL
25,Pikachu,35,55,40,50,50,90,320,Static,NULL,Lightningrod,6,0.4,Yellow,Field,Fairy,Electric,NULL
26,Raichu,60,90,55,90,80,110,485,Static,NULL,Lightningrod,30,0.8,Yellow,Field,Fairy,Electric,NULL
26.1,Raichu (Alolan),60,85,50,95,85,110,485,Surge Surfer,NULL,NULL,21,0.7,Brown,Field,Fairy,Electric,Psychic
27,Sandshrew,50,75,85,20,30,40,300,Sand Veil,NULL,Sand Rush,12,0.6,Yellow,Field,NULL,Ground,NULL
