iter	Passed	Remaining
0	7391	7383907
1	17090	8528105
2	27102	9007199
3	35400	8814604
4	44895	8934197
5	55056	9121036
6	63856	9058453
7	73996	9175561
8	81981	9027043
9	91718	9080143
10	100725	9056114
11	109014	8975511
12	117471	8918804
13	126034	8876448
14	136163	8941391
15	144478	8885435
16	153398	8870065
17	163788	8935581
18	172006	8880968
19	180725	8855570
20	189857	8850981
21	198032	8803464
22	207308	8806110
23	216564	8806937
24	225188	8782337
25	232565	8712267
26	242626	8743546
27	251770	8740040
28	260505	8722445
29	269013	8698107
30	279152	8725779
31	288146	8716434
32	296845	8698469
33	305876	8690502
34	316723	8732518
35	326251	8736298
36	334805	8713982
37	343868	8705313
38	351928	8671867
39	361007	8664189
40	370451	8664947
41	378548	8634517
42	388287	8641643
43	397640	8639642
44	405745	8610831
45	413679	8579344
46	422740	8571730
47	431857	8565169
48	441450	8567737
49	450389	8557393
50	460103	8561536
51	470222	8572510
52	479349	8564981
53	488860	8564103
54	496779	8535567
55	504912	8511386
56	514017	8503832
57	522537	8486722
58	532294	8489639
59	541262	8479783
60	551202	8484903
61	561267	8491435
62	571392	8498326
63	580840	8494787
64	589268	8476404
65	597270	8452282
66	606377	8444033
67	617035	8457020
68	627419	8465614
69	636111	8451198
70	644074	8427391
71	655877	8453529
72	666318	8461337
73	676095	8460328
74	685431	8453656
75	693815	8435331
76	703797	8436434
77	713671	8435961
78	721854	8415540
79	731232	8409175
80	740725	8404035
81	751002	8407567
82	759213	8387935
83	769359	8389680
84	781323	8410718
85	792345	8420971
86	802495	8421589
87	811608	8411212
88	821372	8407533
89	832534	8417846
90	840075	8391521
91	848946	8378728
92	860804	8395153
93	873149	8415673
94	883361	8415183
95	892724	8406489
96	902054	8397478
97	911069	8385561
98	922902	8399343
99	932660	8393940
100	941133	8377023
101	949969	8363455
102	962074	8378451
103	973883	8390377
104	985868	8403358
105	996303	8402787
106	1008104	8413436
107	1017546	8404182
108	1026570	8391504
109	1037731	8396191
110	1049140	8402573
111	1057070	8381061
112	1067695	8380939
113	1077590	8374956
114	1089309	8382947
115	1099263	8377144
116	1109236	8371414
117	1118849	8362926
118	1128562	8355156
119	1137935	8344856
120	1146617	8329560
121	1156146	8320464
122	1164557	8303388
123	1173923	8293202
124	1185204	8296434
125	1193951	8281852
126	1202999	8269440
127	1211375	8252495
128	1219563	8234419
129	1228846	8223817
130	1238068	8212833
131	1245953	8193089
132	1257173	8195258
133	1266849	8187251
134	1278656	8192871
135	1288480	8185640
136	1298400	8178974
137	1308369	8172570
138	1316190	8152806
139	1328064	8158109
140	1337477	8148178
141	1346838	8137940
142	1357730	8136887
143	1367869	8131222
144	1377381	8121804
145	1386024	8107296
146	1393319	8085041
147	1402357	8073029
148	1411261	8060291
149	1420638	8050283
150	1430758	8044462
151	1441358	8041263
152	1451590	8035926
153	1462282	8033057
154	1473170	8031156
155	1483659	8026979
156	1492960	8016343
157	1503908	8014499
158	1513768	8006786
159	1524973	8006111
160	1535083	7999596
161	1544588	7989905
162	1554370	7981643
163	1563258	7968804
164	1573213	7961411
165	1582699	7951635
166	1591565	7938766
167	1602773	7937544
168	1609054	7911979
169	1617569	7897544
170	1623815	7872181
171	1633525	7863713
172	1644322	7860430
173	1654949	7856255
174	1665620	7852212
175	1677563	7854047
176	1687811	7847848
177	1699870	7849963
178	1707999	7833895
179	1717378	7823615
180	1727518	7816783
181	1736233	7803512
182	1747509	7801724
183	1758202	7797244
184	1767082	7784713
185	1775729	7771204
186	1785147	7761097
187	1793912	7748176
188	1804784	7744338
189	1816879	7745645
190	1828484	7744730
191	1838492	7736990
192	1849122	7731823
193	1859477	7725457
194	1870215	7720631
195	1880706	7714735
196	1889236	7700796
197	1899308	7693157
198	1908371	7681436
199	1919054	7676218
200	1929813	7671249
201	1939002	7660019
202	1948892	7651562
203	1959626	7646385
204	1968365	7633418
205	1980512	7633626
206	1989980	7623449
207	1999518	7613552
208	2009952	7607046
209	2021035	7602941
210	2032085	7598650
211	2041506	7588240
212	2051622	7580409
213	2060660	7568592
214	2071049	7561739
215	2079743	7548699
216	2090378	7542701
217	2100710	7535577
218	2110228	7525516
219	2120059	7516576
220	2131399	7512941
221	2139653	7498424
222	2146872	7480360
223	2157546	7474357
224	2168669	7469861
225	2177191	7456397
226	2186548	7445823
227	2194772	7431422
228	2204228	7421222
229	2214518	7413821
230	2225207	7407725
231	2233982	7395252
232	2245610	7392204
233	2256647	7387145
234	2266181	7377144
235	2276822	7370729
236	2288158	7366519
237	2296461	7352534
238	2306922	7345473
239	2316289	7334918
240	2326191	7326056
241	2336659	7318958
242	2343997	7302081
243	2354932	7296430
244	2364972	7287977
245	2376645	7284516
246	2385078	7271110
247	2393297	7257096
248	2403294	7248492
249	2413208	7239625
250	2421981	7227345
251	2431973	7218713
252	2441258	7207983
253	2452175	7202058
254	2463292	7196676
255	2473244	7187868
256	2482136	7175982
257	2493331	7170744
258	2503459	7162407
259	2513442	7153644
260	2521961	7140725
261	2531918	7131891
262	2540352	7118781
263	2549968	7109002
264	2558679	7096714
265	2566976	7083311
266	2576512	7073346
267	2586289	7064045
268	2595956	7054438
269	2606168	7046306
270	2616388	7038182
271	2624644	7024785
272	2635976	7019614
273	2641753	6999682
274	2652248	6992292
275	2661568	6981795
276	2669713	6968241
277	2680492	6961567
278	2690659	6953281
279	2699596	6941819
280	2707505	6927744
281	2716698	6916982
282	2725129	6904302
283	2734510	6894048
284	2744271	6884751
285	2753378	6873819
286	2761669	6860871
287	2771538	6851859
288	2782332	6845115
289	2790898	6832888
290	2799547	6820891
291	2810365	6814174
292	2821389	6807925
293	2830241	6796430
294	2841293	6790210
295	2852719	6784847
296	2860967	6771919
297	2870081	6761064
298	2878331	6748195
299	2887434	6737346
300	2898386	6730805
301	2907815	6720712
302	2919985	6716931
303	2931087	6710646
304	2942016	6703940
305	2952805	6696885
306	2963514	6689626
307	2973619	6680990
308	2983966	6672882
309	2994496	6665169
310	3001838	6650375
311	3011159	6639992
312	3020747	6630203
313	3030207	6620134
314	3038607	6607764
315	3048128	6597847
316	3058754	6590312
317	3067577	6578891
318	3077988	6570877
319	3087457	6560847
320	3095703	6548232
321	3107088	6542254
322	3115966	6530987
323	3126512	6523216
324	3137113	6515542
325	3148291	6509045
326	3157426	6498312
327	3168849	6492277
328	3180509	6486691
329	3190617	6477920
330	3203113	6473966
331	3211388	6461468
332	3220922	6451518
333	3231619	6443887
334	3241420	6434461
335	3249737	6422100
336	3259293	6412201
337	3269261	6403109
338	3279053	6393671
339	3290345	6387141
340	3299130	6375739
341	3309260	6366939
342	3318147	6355751
343	3328315	6347020
344	3338794	6338871
345	3347551	6327453
346	3354923	6313444
347	3362503	6299862
348	3373137	6292012
349	3383558	6283750
350	3393264	6274155
351	3404910	6268129
352	3412002	6253727
353	3419490	6240086
354	3428651	6229521
355	3439080	6221257
356	3447751	6209814
357	3456559	6198635
358	3467343	6190995
359	3478737	6184422
360	3490382	6178266
361	3501787	6171658
362	3510205	6159782
363	3517804	6146493
364	3528259	6138204
365	3536479	6126031
366	3545086	6114550
367	3555149	6105583
368	3565183	6096560
369	3572373	6082689
370	3580547	6070523
371	3592242	6064322
372	3602995	6056509
373	3614898	6050605
374	3624698	6041164
375	3633484	6030038
376	3644639	6022839
377	3653414	6011702
378	3664502	6004370
379	3675201	5996381
380	3683538	5984540
381	3693212	5974882
382	3705204	5968958
383	3716080	5961213
384	3727016	5953546
385	3736148	5942993
386	3746156	5933834
387	3754459	5921983
388	3764477	5912842
389	3774458	5903640
390	3785331	5895823
391	3795311	5886605
392	3804063	5875487
393	3813526	5865474
394	3825317	5859030
395	3835104	5849503
396	3843544	5837927
397	3852028	5826434
398	3860685	5815217
399	3871374	5807061
400	3881941	5798711
401	3891861	5789386
402	3901508	5779654
403	3911931	5771067
404	3923209	5763728
405	3932356	5753251
406	3942496	5744226
407	3953728	5736782
408	3964458	5728593
409	3974691	5719677
410	3982883	5707830
411	3993362	5699264
412	4004609	5691780
413	4014765	5682736
414	4025702	5674785
415	4037172	5667569
416	4045837	5656411
417	4053850	5644355
418	4063173	5634138
419	4071470	5622507
420	4079357	5610327
421	4089786	5601650
422	4099979	5592643
423	4109267	5582401
424	4119450	5573374
425	4131634	5567038
426	4143387	5560095
427	4152770	5549964
428	4162758	5540640
429	4174310	5533388
430	4182734	5521985
431	4192694	5512616
432	4200226	5500065
433	4211150	5491961
434	4221105	5482585
435	4230790	5472857
436	4240055	5462589
437	4250511	5453852
438	4260181	5444104
439	4270163	5434753
440	4280080	5425317
441	4289319	5415023
442	4298960	5405239
443	4308509	5395340
444	4317866	5385204
445	4329386	5377758
446	4338458	5367265
447	4347633	5356905
448	4357866	5347849
449	4366442	5336763
450	4374611	5325191
451	4384492	5315712
452	4393437	5305100
453	4403000	5295238
454	4414673	5287905
455	4423142	5276731
456	4433378	5267668
457	4444846	5260058
458	4452164	5247539
459	4461734	5237688
460	4470879	5227340
461	4480167	5217164
462	4491112	5208914
463	4500694	5199077
464	4511523	5190677
465	4523292	5183343
466	4534176	5174981
467	4542813	5164053
468	4554409	5156485
469	4561983	5144364
470	4572038	5135049
471	4581983	5125608
472	4592466	5116764
473	4602684	5107620
474	4613224	5098827
475	4624622	5090970
476	4635927	5082997
477	4647218	5074996
478	4658262	5066711
479	4668693	5057751
480	4678291	5047886
481	4687691	5037809
482	4697359	5028022
483	4708981	5020318
484	4720964	5012982
485	4730259	5002784
486	4739669	4992711
487	4749436	4983015
488	4761147	4975350
489	4772314	4967103
490	4781808	4957108
491	4790286	4946067
492	4801256	4937600
493	4812259	4929156
494	4822920	4920352
495	4833018	4910970
496	4845461	4903958
497	4855659	4894660
498	4864860	4884359
499	4873151	4873151
500	4884320	4864821
501	4894847	4855844
502	4904904	4846396
503	4915957	4837926
504	4926587	4829031
505	4935390	4818345
506	4945346	4808788
507	4955731	4799645
508	4965034	4789453
509	4973853	4778799
510	4984545	4769946
511	4994535	4760416
512	5006772	4753018
513	5016822	4743532
514	5026750	4733930
515	5036080	4723765
516	5047072	4715156
517	5056889	4705445
518	5068352	4697259
519	5078203	4687572
520	5089501	4679215
521	5100485	4670559
522	5111138	4661592
523	5120825	4651741
524	5132705	4643876
525	5142284	4633921
526	5152551	4624586
527	5160880	4613514
528	5172412	4605304
529	5182933	4596185
530	5193677	4587259
531	5204056	4578005
532	5213102	4567577
533	5224981	4559628
534	5236676	4551504
535	5246244	4541524
536	5255995	4531705
537	5265050	4521288
538	5275687	4512229
539	5286382	4503214
540	5295333	4492713
541	5305743	4483450
542	5316981	4474881
543	5326978	4465261
544	5336252	4455036
545	5346816	4445887
546	5357431	4436775
547	5369238	4428642
548	5378911	4418741
549	5389035	4409211
550	5401046	4401215
551	5409902	4390645
552	5417936	4379417
553	5428055	4369878
554	5439215	4361172
555	5449283	4351586
556	5458288	4341152
557	5468149	4331401
558	5479403	4322749
559	5490820	4314215
560	5501524	4305114
561	5509867	4294166
562	5519674	4284365
563	5529068	4274244
564	5537755	4263581
565	5548793	4254728
566	5558277	4244681
567	5569964	4236311
568	5580093	4226749
569	5588724	4216055
570	5598907	4206534
571	5608626	4196664
572	5619356	4187548
573	5628622	4177340
574	5639977	4168679
575	5650465	4159370
576	5658360	4148157
577	5670224	4139852
578	5680146	4130123
579	5690117	4120429
580	5701740	4111926
581	5710205	4101144
582	5719784	4091166
583	5729105	4081006
584	5739124	4071344
585	5747222	4060324
